sop_class_name,value,objects
RT Structure Set Storage,"Pre-dose, RIGHT LUNG NODULE - 1 - SEED POINT",7
RT Structure Set Storage,"Follow-up consultation, RIGHT LUNG - 1 - SEED POINT",7
RT Structure Set Storage,"Follow-up consultation, MEDIASTINAL LYMPH NODE - 1 - SEED POINT",7
RT Structure Set Storage,"Follow-up consultation, RIGHT LUNG - 1",7
RT Structure Set Storage,"Pre-dose, RIGHT LUNG NODULE - 1",7
RT Structure Set Storage,"Pre-dose, RIGHT BREAST - 2",7
RT Structure Set Storage,"Follow-up consultation, LEFT LUNG - 1",7
RT Structure Set Storage,"Follow-up consultation, MEDIASTINAL LYMPH NODE - 1",7
RT Structure Set Storage,"Pre-dose, PARAAORTIC - 1",7
RT Structure Set Storage,"Pre-dose, PERITONEAL DEPOSIT - 1",7
RT Structure Set Storage,"Pre-dose, LEFT HILAR LYMPH NODE - 1",7
RT Structure Set Storage,"Pre-dose, RIGHT ADNEXA - 1",7
RT Structure Set Storage,"Pre-dose, PSOAS - 1",7
Segmentation Storage,Segmentation of Nodule 1 - Annotation Nodule 002,7
Segmentation Storage,"Pre-dose, PERITONEAL LYMPH NODE - 1",7
Segmentation Storage,"Pre-dose, PELVIS - 1",7
Segmentation Storage,Verio,7
Segmentation Storage,SymphonyTim,7
Comprehensive 3D SR Storage,Revolution CT,6
RT Structure Set Storage,"Pre-dose, GLUTEAL - 1 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, ABDOMEN - 1 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, RIGHT THIGH - 1 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, LEFT THIGH - 1 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, MEDIASTINUM - 2 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, LEFT NECK LYMPH NODE - 1 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, PERIHEPATIC LYMPH NODE - 1 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, PERIHEPATIC LYMPH NODE - 2 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, RIGHT ILIAC LYMPH NODE - 2 - SEED POINT",6
RT Structure Set Storage,"Pre-dose, PERIGASTRIC LYMPH NODE - 2 - SEED POINT",6
RT Structure Set Storage,"Pre-Dose, RIGHT INGUINAL LYMPH NODE - 1 - SEED POINT",6
RT Structure Set Storage,"Follow-up consultation, LEFT LUNG - 2",6
RT Structure Set Storage,"Pre-dose, MEDIASTINUM - 2",6
RT Structure Set Storage,"Pre-dose, PERIGASTRIC LYMPH NODE - 2",6
RT Structure Set Storage,"Pre-Dose, RIGHT INGUINAL LYMPH NODE - 1",6
RT Structure Set Storage,"Pre-dose, PERIHEPATIC LYMPH NODE - 2",6
RT Structure Set Storage,"Pre-dose, LEFT THIGH - 1",6
RT Structure Set Storage,"Pre-dose, PERIHEPATIC LYMPH NODE - 1",6
RT Structure Set Storage,"Pre-dose, RIGHT ILIAC LYMPH NODE - 2",6
RT Structure Set Storage,"Pre-dose, LEFT NECK LYMPH NODE - 1",6
RT Structure Set Storage,"Pre-dose, LEFT ILIAC BONE - 2",6
RT Structure Set Storage,"Pre-dose, RIGHT PELVIS - 1",6
RT Structure Set Storage,"Pre-dose, LEFT ADNEXA - 2",6
RT Structure Set Storage,"Pre-dose, RIGHT THIGH - 1",6
Segmentation Storage,Segmentation of Nodule 2 - Annotation 0,6
Segmentation Storage,Segmentation of Nodule 1 - Annotation Nodule 003,6
Segmentation Storage,"Pre-dose, MEDIASTINAL LYMPH NODE - 2",6
Segmentation Storage,"Pre-dose, SPINE - 1",6
Segmentation Storage,AIMI FDG breast tumor AI segmentation,6
Segmentation Storage,Optima MR450w,6
Segmentation Storage,Spine Segmentation,6
Comprehensive 3D SR Storage,Discovery LS,5
RT Structure Set Storage,"Pre-dose, DIAPHRAGM - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, NECK - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, GALLBLADDER - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, LEFT HILUM - 2 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, PARA AORTIC - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, PERIGASTRIC LYMPH NODE - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, BLADDER - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, LEFT OVARY - 2 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, LEFT CHEST WALL - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, RIGHT INGUINAL - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, RIGHT ILIUM BONE - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, PERICARDIAL LYMPH NODE - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, LEFT PELVIS - 2 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, RIGHT PELVIC - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, LEFT OVARY - 2 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, RIGHT OVARY - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, PARAVERTEBRAL - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, INFERIOR VENA CAVA - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, UTERUS - 2 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, PARA AORTIC LYMPH NODE - 1 - SEED POINT",5
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL LYMPH NODE - 2 - SEED POINT",5
RT Structure Set Storage,"Pre-dose, RIGHT ILIUM BONE - 1",5
RT Structure Set Storage,"Pre-Dose, LEFT PELVIS - 2",5
RT Structure Set Storage,"Pre-Dose, UTERUS - 2",5
RT Structure Set Storage,"Pre-dose, LEFT CHEST WALL - 1",5
RT Structure Set Storage,"Pre-Dose, RIGHT PELVIC - 1",5
RT Structure Set Storage,"Pre-Dose, PARA AORTIC LYMPH NODE - 1",5
RT Structure Set Storage,"Pre-dose, BLADDER - 1",5
RT Structure Set Storage,"Pre-dose, PERICARDIAL LYMPH NODE - 1",5
RT Structure Set Storage,"Pre-dose, RIGHT INGUINAL - 1",5
RT Structure Set Storage,"Pre-Dose, PARAVERTEBRAL - 1",5
RT Structure Set Storage,"Pre-dose, ABDOMEN - 1",5
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL LYMPH NODE - 2",5
RT Structure Set Storage,"Pre-dose, PORTA HEPATIS LYMPH NODE - 1",5
RT Structure Set Storage,"Pre-Dose, INFERIOR VENA CAVA - 1",5
RT Structure Set Storage,"Pre-dose, LEFT OVARY - 2",5
RT Structure Set Storage,"Pre-Dose, LEFT OVARY - 2",5
RT Structure Set Storage,"Pre-Dose, RIGHT OVARY - 1",5
Segmentation Storage,Sensation 64,5
Segmentation Storage,VOI PE Segmentation thresh=140,5
Segmentation Storage,Segmentation of Nodule 1 - Annotation 1,5
Segmentation Storage,Segmentation of Nodule 2 - Annotation Nodule 003,5
Segmentation Storage,BAMFHealth^Radiologist1,5
Segmentation Storage,"Pre-dose, LEFT ADRENAL GLAND - 1",5
Segmentation Storage,NLSTSeg Segmentation of Series: 6,5
Segmentation Storage,Segmentation of prostate lesion 3,5
Segmentation Storage,Intera,5
Segmentation Storage,PE Segmentation thresh=140,5
Segmentation Storage,Symphony,5
Comprehensive 3D SR Storage,Mx8000 IDT,4
RT Structure Set Storage,"Post-Chemotherapy #1, No Findings",4
RT Structure Set Storage,"Pre-dose, RIB - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, LUNG - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, MESENTERY - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, PROSTATE - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, RIGHT SCAPULA - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, OMENTAL - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, PERICARDIAL LYMPH NODE - 2 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, RIGHT ABDOMINAL WALL - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, LEFT BREAST - 2 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, INGUINAL LYMPH NODE - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, PORTA HEPATIS LYMPH NODE - 2 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, LEFT INGUINAL - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, HILAR LYMPH NODE - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, ISCHIUM - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, STERNUM - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, LEFT LUNG NODULE - 2 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, LEFT HILAR LYMPH NODE - 2 - SEED POINT",4
RT Structure Set Storage,"Follow-up consultation, RIGHT LUNG - 2 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, RIGHT ADRENAL GLAND - 2 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, RIGHT ILIAC LYMPH NODE - 1 - SEED POINT",4
RT Structure Set Storage,"Follow-up consultation, MEDIASTINUM - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-Dose, LEFT LUNG - 1 - SEED POINT",4
RT Structure Set Storage,"Post-Chemotherapy #1, LIVER - 2 - SEED POINT",4
RT Structure Set Storage,"Post-Chemotherapy #1, LIVER - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL - 2 - SEED POINT",4
RT Structure Set Storage,"Post-Chemotherapy #1, PANCREAS - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-Dose, PERIHEPATIC LYMPH NODE - 1 - SEED POINT",4
RT Structure Set Storage,"Pre-dose, PERIGASTRIC LYMPH NODE - 1",4
RT Structure Set Storage,"Pre-dose, LEFT LUNG NODULE - 2",4
RT Structure Set Storage,"Pre-dose, PANCREAS - 2",4
RT Structure Set Storage,"Pre-dose, NECK - 1",4
RT Structure Set Storage,"Post-Chemotherapy #1, LIVER - 2",4
RT Structure Set Storage,"Pre-dose, STERNUM - 1",4
RT Structure Set Storage,"Follow-up consultation, RIGHT LUNG - 2",4
RT Structure Set Storage,"Pre-dose, RIGHT ILIAC LYMPH NODE - 1",4
RT Structure Set Storage,"Pre-dose, DIAPHRAGM - 1",4
RT Structure Set Storage,"Pre-dose, LEFT HILAR LYMPH NODE - 2",4
RT Structure Set Storage,"Pre-dose, LEFT KIDNEY - 1",4
RT Structure Set Storage,"Pre-dose, GLUTEAL - 1",4
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL - 2",4
RT Structure Set Storage,"Pre-dose, LEFT HILUM - 2",4
RT Structure Set Storage,"Post-Chemotherapy #1, LIVER - 1",4
RT Structure Set Storage,"Pre-Dose, PERIHEPATIC LYMPH NODE - 1",4
RT Structure Set Storage,"Pre-Dose, LEFT LUNG - 1",4
RT Structure Set Storage,"Post-Chemotherapy #1, PANCREAS - 1",4
RT Structure Set Storage,"Pre-dose, RIGHT ADRENAL GLAND - 2",4
RT Structure Set Storage,"Pre-dose, PARA AORTIC - 1",4
RT Structure Set Storage,"Follow-up consultation, MEDIASTINUM - 1",4
RT Structure Set Storage,"Pre-dose, ISCHIUM - 1",4
RT Structure Set Storage,"Pre-dose, GALLBLADDER - 1",4
Segmentation Storage,QIBA CT 1C Reader 5,4
Segmentation Storage,QIBA CT 1C Reader 2,4
Segmentation Storage,QIBA CT 1C Reader 4,4
Segmentation Storage,Discovery CT750 HD,4
Segmentation Storage,Segmentation of Nodule 3 - Annotation Nodule 002,4
Segmentation Storage,Weasis,4
Segmentation Storage,Segmentation of Nodule 2 - Annotation 2,4
Segmentation Storage,Segmentation of Nodule 1 - Annotation 2,4
Segmentation Storage,"Pre-dose, PELVIS - 2",4
Segmentation Storage,NLSTSeg Segmentation of Series: 5,4
Segmentation Storage,"Pre-dose, LEFT HILUM - 1",4
Segmentation Storage,"Pre-dose, RETROPERITONEAL LYMPH NODE - 2",4
Segmentation Storage,AIMI prostate radiologist 6 corrected segmentation,4
Segmentation Storage,BAMFHealth^Radiologist6,4
Segmentation Storage,Segmentation of Nodule 3 - Annotation Nodule 001,4
Segmentation Storage,BAMFHealth^Radiologist7,4
Segmentation Storage,AIMI Brain MRI radiologist 3 corrected segmentation,4
Segmentation Storage,BAMFHealth^Radiologist3,4
Segmentation Storage,ACRIN-6698: DWI SEG: from S5: Whole Tumor Manual,4
Segmentation Storage,DISCOVERY MR750w,4
Segmentation Storage,ePAD,4
Segmentation Storage,Apparent Diffusion Coefficient Segmentations,4
Segmentation Storage,"Pre-dose, UTERUS - 1",4
Segmentation Storage,AMIRA,4
Segmentation Storage,AIMI breast-tumor radiologist 9 corrected segmentation,4
Segmentation Storage,BAMFHealth^Radiologist9,4
Segmentation Storage,InterobsCollectionOwner,4
Segmentation Storage,1,4
Segmentation Storage,2,4
Segmentation Storage,3,4
Segmentation Storage,4,4
Segmentation Storage,5,4
Comprehensive 3D SR Storage,CT scan,3
RT Structure Set Storage,"Pre-dose, RIGHT AXILLA - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, LUNG - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, LEFT SACRUM - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, ILIAC BONE - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, HILAR MASS - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, INGUINAL LYMPH NODE - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, CERVIX - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, PERICARDIUM - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, LEFT AXILLA - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, THYROID - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, LEFT RIB - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, LEFT ADNEXA - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, CHEST WALL - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, RIGHT CHEST WALL - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, RIGHT FEMUR - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, CERVICAL LYMPH NODE - 2 - SEED POINT",3
RT Structure Set Storage,"Follow-up consultation, SPINE - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, AXILLARY LYMPH NODE - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, AORTOCAVAL LYMPH NODE - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, RETROCRURAL LYMPH NODE - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, PARATRACHEAL LYMPH NODE - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, PERIPANCREATIC LYMPH NODE - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-dose, SUPRACLAVICULAR LYMPH NODES - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, RIGHT LUNG - 2 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, ADRENAL - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, RIGHT ADRENAL GLAND - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, BLADDER - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, PERIGASTRIC LYMPH NODE - 1 - SEED POINT",3
RT Structure Set Storage,"Post-Chemotherapy #1, PANCREAS - 1 - 1 SEED POINT",3
RT Structure Set Storage,"Pre-Dose, HEPATIC LYMPH NODE - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, PERIHEPATIC NODE - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, MESENTERIC LYMPH NODE - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, PERIPANCREATIC LYMPH NODE - 1 - SEED POINT",3
RT Structure Set Storage,"Pre-Dose, PARA AORTIC LYMPH NODE - 2 - SEED POINT",3
RT Structure Set Storage,"Post-Chemotherapy #1, PANCREAS - 1 - 1",3
RT Structure Set Storage,"Pre-dose, LUNG - 1",3
RT Structure Set Storage,"Pre-Dose, ADRENAL - 1",3
RT Structure Set Storage,"Pre-dose, RIGHT FEMUR - 1",3
RT Structure Set Storage,"Pre-Dose, RIGHT LUNG - 2",3
RT Structure Set Storage,"Pre-dose, PARATRACHEAL LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-dose, CHEST WALL - 2",3
RT Structure Set Storage,"Pre-dose, AORTOCAVAL LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-dose, HILAR LYMPH NODE - 1",3
RT Structure Set Storage,"Pre-dose, RETROCRURAL LYMPH NODE - 1",3
RT Structure Set Storage,"Pre-dose, PERICARDIAL LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-Dose, RIGHT ADRENAL GLAND - 1",3
RT Structure Set Storage,"Follow-up consultation, SPINE - 1",3
RT Structure Set Storage,"Pre-dose, AXILLARY LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-dose, SUPRACLAVICULAR LYMPH NODES - 1",3
RT Structure Set Storage,"Pre-dose, PORTA HEPATIS LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-Dose, PERIHEPATIC NODE - 1",3
RT Structure Set Storage,"Pre-dose, LEFT BREAST - 2",3
RT Structure Set Storage,"Pre-Dose, MESENTERIC LYMPH NODE - 1",3
RT Structure Set Storage,"Pre-dose, LEFT ADNEXA - 1",3
RT Structure Set Storage,"Pre-dose, LEFT INGUINAL - 1",3
RT Structure Set Storage,"Pre-dose, PERIPANCREATIC LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-dose, MESENTERY - 1",3
RT Structure Set Storage,"Pre-dose, LEFT AXILLA - 1",3
RT Structure Set Storage,"Pre-dose, RIGHT ABDOMINAL WALL - 1",3
RT Structure Set Storage,"Pre-dose, RIGHT RIB - 2",3
RT Structure Set Storage,"Pre-Dose, PERIPANCREATIC LYMPH NODE - 1",3
RT Structure Set Storage,"Pre-Dose, PARA AORTIC LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-dose, CERVIX - 1",3
RT Structure Set Storage,"Pre-Dose, BLADDER - 1",3
RT Structure Set Storage,"Pre-dose, PERICARDIUM - 1",3
RT Structure Set Storage,"Pre-Dose, PERIGASTRIC LYMPH NODE - 1",3
RT Structure Set Storage,"Pre-dose, THYROID - 1",3
RT Structure Set Storage,"Pre-dose, RIB - 1",3
RT Structure Set Storage,"Pre-Dose, HEPATIC LYMPH NODE - 1",3
RT Structure Set Storage,"Pre-dose, CERVICAL LYMPH NODE - 2",3
RT Structure Set Storage,"Pre-dose, RIGHT CHEST WALL - 2",3
RT Structure Set Storage,"Pre-dose, LEFT RIB - 2",3
Segmentation Storage,tumor_residual seg - MR ref: 3D_AX_T1_postcontrast,3
Segmentation Storage,tumor_residual seg - MR ref: 2D_AX_T2_BLADE,3
Segmentation Storage,Brilliance 64,3
Segmentation Storage,tumor_residual seg - MR ref: 3D_SAG_T2_FLAIR,3
Segmentation Storage,tumor seg - MR ref: 2D_AX_T2_BLADE,3
Segmentation Storage,Aquilion,3
Segmentation Storage,"Pre-dose, LEFT PLEURA - 1",3
Segmentation Storage,"Pre-dose, RIGHT HILUM - 1",3
Segmentation Storage,Segmentation of Nodule 1 - Annotation 4,3
Segmentation Storage,Segmentation of Nodule 3 - Annotation 4,3
Segmentation Storage,Segmentation of Nodule 4 - Annotation Nodule 002,3
Segmentation Storage,ACRIN-6698: DWI SEG: from S3: Whole Tumor Manual,3
Segmentation Storage,"Pre-dose, PARAAORTIC LYMPH NODE - 1",3
Segmentation Storage,"Pre-dose, RIGHT RIB - 1",3
Segmentation Storage,"Pre-dose, RETROPERITONEUM - 1",3
Segmentation Storage,ACRIN-6698: TrT0: DWI SEG: from S3: Whole Tumor Manual,3
Segmentation Storage,BAMF-Liver-MR,3
Segmentation Storage,"Pre-dose, RIGHT ADRENAL GLAND - 1",3
Segmentation Storage,"Pre-dose, PERITONEAL LYMPH NODE - 2",3
Segmentation Storage,"Pre-dose, ABDOMINAL WALL - 1",3
Segmentation Storage,"Pre-dose, PANCREAS - 2",3
Segmentation Storage,Segmentation of Nodule 2 - Annotation Nodule 001,3
Segmentation Storage,"Pre-dose, MEDIASTINUM - 1",3
Segmentation Storage,ePAD3.1,3
Segmentation Storage,"Pre-dose, PARAAORTIC LYMPH NODE - 2",3
Segmentation Storage,DCE Subtraction Segmentations,3
Comprehensive 3D SR Storage,Discovery QX/i,2
Comprehensive 3D SR Storage,QX/i,2
RT Structure Set Storage,"Pre-dose, OMENTUM - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, VULVA - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PREAORTIC LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, RIGHT DIAPHRAGM - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PORTACAVAL LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PERIRECTAL LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, GASTROESOPHAGEAL JUNCTION - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, INFERIOR VENA CAVA - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PARAESOPHAGEAL LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PARA AORTIC LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, DIAPHRAGMATIC LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC ANGLE LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PRETRACHEAL LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT KIDNEY - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, VAGINA - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, RIGHT NECK - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, ABDOMEN - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, RIGHT HILAR - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PARAAORTIC - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, RIGHT SHOULDER - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PERIPORTAL - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PUBIC BONE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT URETER - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT LUNG NODULE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT NECK - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PERIPANCREATIC - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT ABDOMINAL WALL - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT ARM - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, CHEST WALL LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, NECK LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, AORTIC LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, LEFT ABDOMINAL WALL - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PERIAORTIC LYMPH NODES - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, HILAR LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, ABDOMINAL LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, DIAPHRAGMATIC LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, ABDOMINAL LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, RETROCAVAL LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PREAORTIC LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PARACAVAL LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PERICARDIAC LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, CERVICAL LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PERITONEAL DEPOSIT - 2 - SEED POINT",2
RT Structure Set Storage,"Follow-up consultation, MEDIASTINAL LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, RIGHT TEMPORAL LOBE - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, RIGHT EXTERNAL ILIAC LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Follow-up consultation, RIGHT AXILARY LYMPH NODE  2 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, LUNG - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, THYROID - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, LEFT LUNG - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, LEFT HUMERUS - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, PELVIC MASS - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, LYMPH NODE - 1 - SEED POINT",2
RT Structure Set Storage,"Post-Chemotherapy #2, PANCREAS - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, MEDIASTINAL LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, LEFT RENAL VEIN - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, RIGHT ADRENAL - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL MASS - 1 - SEED POINT",2
RT Structure Set Storage,"Post-Chemotherapy #1, LEFT KIDNEY - 2 - SEED POINT",2
RT Structure Set Storage,"Post-Chemotherapy #1, RIGHT KIDNEY - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, PERIHEPATIC LYMPH NODE - 2 - SEED POINT",2
RT Structure Set Storage,"Pre-Dose, POSTERIOR ABDOMINAL WALL - 1 - SEED POINT",2
RT Structure Set Storage,"Pre-dose, PERIAORTIC LYMPH NODES - 1",2
RT Structure Set Storage,"Pre-Dose, RIGHT ADRENAL - 2",2
RT Structure Set Storage,"Pre-Dose, LUNG - 1",2
RT Structure Set Storage,"Follow-up consultation, MEDIASTINAL LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-dose, LEFT LUNG NODULE - 1",2
RT Structure Set Storage,"Pre-dose, NECK LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, AORTIC LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, ABDOMINAL LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-dose, DIAPHRAGMATIC LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, HILAR LYMPH NODE - 2",2
RT Structure Set Storage,"Pre-dose, ABDOMINAL LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, OMENTAL - 1",2
RT Structure Set Storage,"Pre-dose, PARA AORTIC LYMPH NODE - 1",2
RT Structure Set Storage,"Pre-dose, INGUINAL LYMPH NODE - 2",2
