stratum,carrier,objects,absent,zero_length,non_empty
dcmqi / prostatex_seg_hires,Manufacturer,66,0,0,66
dcmqi / prostatex_seg_hires,ManufacturerModelName,66,0,0,66
dcmqi / prostatex_seg_hires,SeriesDescription,66,0,0,66
dcmqi / prostatex_seg_hires,SoftwareVersions,66,0,0,66
dcmqi / prostatex_seg_zones,ContentCreatorName,98,0,0,98
dcmqi / prostatex_seg_zones,ContributingEquipmentSequence,98,98,0,0
dcmqi / prostatex_seg_zones,DeviceSerialNumber,98,0,0,98
dcmqi / prostatex_seg_zones,ImplementationClassUID,98,0,0,98
dcmqi / prostatex_seg_zones,ImplementationVersionName,98,0,0,98
dcmqi / prostatex_seg_zones,Manufacturer,98,0,0,98
dcmqi / prostatex_seg_zones,ManufacturerModelName,98,0,0,98
dcmqi / prostatex_seg_zones,SeriesDescription,98,0,0,98
dcmqi / prostatex_seg_zones,SoftwareVersions,98,0,0,98
dcmqi / rider_lungct_seg,ContentCreatorName,59,0,0,59
dcmqi / rider_lungct_seg,ContributingEquipmentSequence,59,59,0,0
dcmqi / rider_lungct_seg,DeviceSerialNumber,59,0,0,59
dcmqi / rider_lungct_seg,ImplementationClassUID,59,0,0,59
dcmqi / rider_lungct_seg,ImplementationVersionName,59,0,0,59
dcmqi / rider_lungct_seg,Manufacturer,59,0,0,59
dcmqi / rider_lungct_seg,ManufacturerModelName,59,0,0,59
dcmqi / rider_lungct_seg,SeriesDescription,59,0,0,59
dcmqi / rider_lungct_seg,SoftwareVersions,59,0,0,59
dcmqi / totalsegmentator_ct_segmentations,ContentCreatorName,384,0,0,384
dcmqi / totalsegmentator_ct_segmentations,ContributingEquipmentSequence,384,384,0,0
dcmqi / totalsegmentator_ct_segmentations,DeviceSerialNumber,384,0,0,384
dcmqi / totalsegmentator_ct_segmentations,ImplementationClassUID,384,0,0,384
dcmqi / totalsegmentator_ct_segmentations,ImplementationVersionName,384,0,0,384
dcmqi / totalsegmentator_ct_segmentations,Manufacturer,384,0,0,384
dcmqi / totalsegmentator_ct_segmentations,ManufacturerModelName,384,0,0,384
dcmqi / totalsegmentator_ct_segmentations,SeriesDescription,384,0,0,384
dcmqi / totalsegmentator_ct_segmentations,SoftwareVersions,384,0,0,384
highdicom / (null),ContentCreatorName,384,0,384,0
highdicom / (null),ContributingEquipmentSequence,384,384,0,0
highdicom / (null),DeviceSerialNumber,384,384,0,0
highdicom / (null),ImplementationClassUID,384,0,0,384
highdicom / (null),ImplementationVersionName,384,0,0,384
highdicom / (null),Manufacturer,384,0,0,384
highdicom / (null),ManufacturerModelName,384,0,0,384
highdicom / (null),SeriesDescription,384,0,0,384
highdicom / (null),SoftwareVersions,384,0,0,384
highdicom / eay131_tumor_annotations,ContentCreatorName,384,0,384,0
highdicom / eay131_tumor_annotations,ContributingEquipmentSequence,384,384,0,0
highdicom / eay131_tumor_annotations,DeviceSerialNumber,384,0,0,384
highdicom / eay131_tumor_annotations,ImplementationClassUID,384,0,0,384
highdicom / eay131_tumor_annotations,ImplementationVersionName,384,0,0,384
highdicom / eay131_tumor_annotations,Manufacturer,384,0,0,384
highdicom / eay131_tumor_annotations,ManufacturerModelName,384,0,0,384
highdicom / eay131_tumor_annotations,SeriesDescription,384,0,0,384
highdicom / eay131_tumor_annotations,SoftwareVersions,384,0,0,384
not identifiable from index / (null),ContentCreatorName,384,0,359,25
not identifiable from index / (null),ContributingEquipmentSequence,384,384,0,0
not identifiable from index / (null),DeviceSerialNumber,384,238,9,137
not identifiable from index / (null),ImplementationClassUID,384,0,0,384
not identifiable from index / (null),ImplementationVersionName,384,0,0,384
not identifiable from index / (null),Manufacturer,384,0,0,384
not identifiable from index / (null),ManufacturerModelName,384,0,0,384
not identifiable from index / (null),SeriesDescription,384,25,0,359
not identifiable from index / (null),SoftwareVersions,384,0,0,384
