stratum,validator,message_class_id,severity_as_emitted,message_template,objects
dcmqi / (null),dciodvfy,db707f450345,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-321> - Retired Person Name form,1
dcmqi / (null),dciodvfy,dbb555ad8ced,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0601> - Retired Person Name form,1
dcmqi / (null),dciodvfy,dc5c3d9af90d,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Myel_005> - Retired Person Name form,1
dcmqi / (null),dciodvfy,dd140f839cb4,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0417> - Retired Person Name form,1
dcmqi / (null),dciodvfy,df885a26de1f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-174> - Retired Person Name form,1
dcmqi / (null),dciodvfy,dfa14dd31771,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0552> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e02bf2becc5a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-311> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e0fc8af927a9,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-371> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e1c47bb2c3d9,Error,Error - Orientation vectors are not orthogonal for row vector of ImageOrientationPatient (-0.928837\-0.357407\-0.0975829) and column vector of ImageOrientationPatient (-0.346678\0.937869\-0.0146994),1
dcmqi / (null),dciodvfy,e236435624d6,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0951> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e32fa5d993ab,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <HCC_029> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e52724ca81f4,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Adrenal_Ki67_Seg_026> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e71fcd78dd8c,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CRLM-CT-1066> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e7f5bc3dbdca,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <AMBL-559> - Retired Person Name form,1
dcmqi / (null),dciodvfy,e9b139743d0a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0823> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ea2dcb583857,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Adrenal_Ki67_Seg_013> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ea4fd0b029a4,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0002> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ea80bd212d79,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ReMIND-106> - Retired Person Name form,1
dcmqi / (null),dciodvfy,eb0739febea0,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <MED_LYMPH_032> - Retired Person Name form,1
dcmqi / (null),dciodvfy,eb1e346216af,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-169> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ec4d70b0ac5a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-120> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ec9da2c30a46,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ReMIND-040> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ecc1c0c24a40,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <HCC_038> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ee196b5dbe21,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CRLM-CT-1159> - Retired Person Name form,1
dcmqi / (null),dciodvfy,ee50f5aeb6df,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-270> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f06db899eb8f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <MED_LYMPH_088> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f0af221a11aa,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_255> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f15af3d5467e,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <HCC_008> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f2c44de8c356,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <HCC_056> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f34135536f4a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0411> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f341791c67a8,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <AMBL-573> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f4f6851d5391,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-366> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f50bf6ec7cfc,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_534> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f50dcc7ce7bc,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Myel_016> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f6136f57615f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <AMBL-033> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f6a96961cf66,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ABD_LYMPH_067> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f6fda3d460b8,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CRLM-CT-1147> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f86ad6df6f26,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <13055> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f8d6a1c7e530,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-313> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f9049488b4c9,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0142> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f9726466816e,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_550> - Retired Person Name form,1
dcmqi / (null),dciodvfy,f98c0187ce6d,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <AMBL-629> - Retired Person Name form,1
dcmqi / (null),dciodvfy,fa8dc7e42335,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <MED_LYMPH_080> - Retired Person Name form,1
dcmqi / (null),dciodvfy,fb5a91de3bbc,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Myel_026> - Retired Person Name form,1
dcmqi / (null),dciodvfy,fb62766e352a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <case_0663> - Retired Person Name form,1
dcmqi / (null),dciodvfy,fc9d268325b4,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <LUNG1-108> - Retired Person Name form,1
dcmqi / (null),dciodvfy,fd36b86e048b,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ReMIND-111> - Retired Person Name form,1
dcmqi / (null),dciodvfy,fdfff0d33536,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ReMIND-060> - Retired Person Name form,1
dcmqi / (null),dciodvfy,feca019a8d39,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CRLM-CT-1080> - Retired Person Name form,1
dcmqi / (null),dciodvfy,fffca68a97d6,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <AMBL-584> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dicom-validator,380880930b44,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,384
dcmqi / bamf_aimi_annotations,dicom-validator,6f01abd4f319,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,384
dcmqi / bamf_aimi_annotations,dicom-validator,972394b5bb82,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,384
dcmqi / bamf_aimi_annotations,dicom-validator,d0eabe730084,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,384
dcmqi / bamf_aimi_annotations,dicom-validator,d81147d20e87,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,384
dcmqi / bamf_aimi_annotations,dicom-validator,f782376ec325,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,383
dcmqi / bamf_aimi_annotations,dciodvfy,815f5dab3ba7,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,381
dcmqi / bamf_aimi_annotations,dciodvfy,4a71864409dc,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,184
dcmqi / bamf_aimi_annotations,dciodvfy,9ee22e1c2108,Warning,Warning - Unrecognized defined term <GEIIS> for value 1 of attribute <Coding Scheme Designator>,108
dcmqi / bamf_aimi_annotations,dciodvfy,9c40e6b9aa7f,Warning,Warning - Unrecognized defined term <HEAD_NECK> for value 1 of attribute <Body Part Examined>,33
dcmqi / bamf_aimi_annotations,dciodvfy,0786a34e0c26,Warning,Warning - Value is zero for value 1 of attribute <Patient's Weight>,6
dcmqi / bamf_aimi_annotations,dciodvfy,b165e14b9ea0,Error,Error - ReferencedSeriesSequence present but Instance does not reference Instances - attribute <ReferencedSeriesSequence>,5
dcmqi / bamf_aimi_annotations,dciodvfy,55cb0f09964e,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00224> - Retired Person Name form,3
dcmqi / bamf_aimi_annotations,dciodvfy,1ecace60804a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00117> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,20002a393c44,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00374> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,236eed4cfac0,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00239> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,3e5cf1791413,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <HCC_048> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,4a11fc84c10b,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00554> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,5186cc78b41d,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00404> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,717530e7f8df,Warning,Warning - Unrecognized defined term <CCG_CSTemp> for value 1 of attribute <Coding Scheme Designator>,2
dcmqi / bamf_aimi_annotations,dciodvfy,80395158a24b,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00357> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,97d6d92faee1,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-G3-A5SK> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,9b1049eb537c,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00132> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,b017f70fdc85,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00535> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,b8d3ec967606,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00530> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,cd99b5eb1d02,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-BREAST-01-0064> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,e8181161a88c,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_814> - Retired Person Name form,2
dcmqi / bamf_aimi_annotations,dciodvfy,00e48f88e51f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_677> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,03f4fb8f7304,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00310> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,04230716a0dc,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ProstateX-0001> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,04b29d5aa70b,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00457> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,04caa3cabb64,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CRLM-CT-1156> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0504d072bdbe,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-BREAST-01-0021> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0507257941dd,Warning,Warning - Value is zero for value 1 of attribute <Patient's Size>,1
dcmqi / bamf_aimi_annotations,dciodvfy,051272a753ef,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-0075> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,070151de1dad,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <HCC_022> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0880630e5e29,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-CJ-4908> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0a22b21f63dd,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_221> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0c42c9582af5,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-0879> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0e90e94410d3,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CRLM-CT-1129> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0eb62dde03e8,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00264> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,0fd6b11aa0c6,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00405> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,12360f20cd34,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00012> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,144fb0c3444f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-002> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,14e36e6c9664,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <CRLM-CT-1054> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,14ff5c5e4138,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ACRIN-NSCLC-FDG-PET-043> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1614baa88e42,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Lung_Dx-B0028> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,16f55e331227,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-023> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,172535aa9c07,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00482> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,178eea10aefd,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_444> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,18f8a03d24cc,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_811> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,19663fdc166f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00334> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1a2eb937fab3,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_058> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1b251723df57,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-0679> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1c0b2cc6e140,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00587> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1c639183d17a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <HCC_061> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1d367590cb46,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00274> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1dea7243a02c,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-0319> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1f1fb605398d,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00157> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1f584d839507,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <PD-1-Lung-00037> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,1fd1d5c3a877,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00004> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,22f5f02c4f00,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00091> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,250f022406aa,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00534> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,252156475a99,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00068> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,26da94cb9f7a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00516> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,2866dc2d263d,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_683> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,289689331d81,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_650> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,28c87551c278,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00604> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,291f73a23f94,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_163> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,29eb782a3358,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00365> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,2b4716887250,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00300> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,2d20752e910a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_605> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,2dd71b84c887,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00101> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,2e237433891f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_074> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,30880fe81b5f,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00608> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,30d87fcd9e51,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-1048> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,31a9fd5c6a98,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-052> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3221844fadf9,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_380> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,335bea0f2913,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-0496> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,34a9dde36058,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-1111> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,34b34534c714,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ProstateX-0337> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,34e520801370,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00496> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,36e6a51ffe56,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <QIN-BREAST-01-0033> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,379ed15f7851,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-122> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,388af596637e,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-0721> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3ab378f2c139,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00309> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3b4453ac28c5,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00406> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3b73e6ec7770,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-DD-A4NJ> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3c5416413e07,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_557> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3d05a6d4540a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00411> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3dc59f07dba1,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-049> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3dc7e4b96e5e,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_342> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3e93f9c69144,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <AMC-043> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3eeb3679e73b,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <PD-1-Lung-00004> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3f085e1f59a1,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ACRIN-NSCLC-FDG-PET-166> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,3f5e95cd94a9,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00026> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,40785f7c6a3a,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-G3-A7M7> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,41ef4678fca2,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Breast_MRI_451> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,435f0d36d034,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00085> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,437857c2b352,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <Prostate-MRI-US-Biopsy-0399> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,43eaddf754d2,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-17-Z059> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,4402523d0864,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <ACRIN-NSCLC-FDG-PET-042> - Retired Person Name form,1
dcmqi / bamf_aimi_annotations,dciodvfy,44c9486033f6,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00181> - Retired Person Name form,1
