series_instance_uid,stratum,writer,analysis_result_id,collection_id,status,objects,instances_declared
1.2.276.0.7230010.3.1.3.481037312.53840.1718923542.114928,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53161.1718923414.445887,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53516.1718923481.606461,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.317924428056711038101474734314578985857,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.76791931346553355390771609054588105831,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.3.6.1.4.1.14519.5.2.1.209987592768545946021157365452327830833,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.301946942371859688063564426630667635429,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.334872568491809617245381762882583504357,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.171527318845518040189457466324527141508,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.505801377.2044.1345983847.34,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.60928924824288588473714722822010173015,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53910.1718923555.54375,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.33845772645042809538698546601960283508,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.826.0.1.3680043.8.498.94980115594082020397147509853675870583,highdicom / eay131_tumor_annotations,highdicom,eay131_tumor_annotations,eay131,OK,1,1
