series_instance_uid,stratum,writer,analysis_result_id,collection_id,status,objects,instances_declared
1.2.276.0.7230010.3.1.3.0.41161.1698535238.592870,dcmqi / prostate_mri_us_biopsy_dicom_annotations,dcmqi,prostate_mri_us_biopsy_dicom_annotations,prostate_mri_us_biopsy,OK,1,1
1.2.276.0.7230010.3.1.3.0.45366.1698537374.842579,dcmqi / prostate_mri_us_biopsy_dicom_annotations,dcmqi,prostate_mri_us_biopsy_dicom_annotations,prostate_mri_us_biopsy,OK,1,1
1.3.6.1.4.1.14519.5.2.1.329670818683375560776812850219320053353,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.826.0.1.3680043.8.498.10990741573650395492777002647610416617,highdicom / eay131_tumor_annotations,highdicom,eay131_tumor_annotations,eay131,OK,1,1
1.3.6.1.4.1.14519.5.2.1.188073827922144028981330163209024385450,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.4148549909.2120.1344860170.34,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.2.276.0.7230010.3.1.3.1031255639.2476.1345992646.204,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.804820388465010451901313992011437033,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.182632510998633933623502454072615881455,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.17436516.2638965.1720647274.463844,dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,lung_pet_ct_dx,OK,1,1
1.2.276.0.7230010.3.1.3.17436516.323765.1696966740.780229,dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,tcga_lihc,OK,1,1
1.3.6.1.4.1.14519.5.2.1.198915484763935903320046170055017368105,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.212143887641430464981296193377455961428,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.1780.1599221905.866,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.334195369805738609061462877655,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.3.6.1.4.1.14519.5.2.1.286372178780891527834300983626544956800,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.2.276.0.7230010.3.1.3.17436516.2385176.1693014884.276841,dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,tcga_kirc,OK,1,1
1.2.276.0.7230010.3.1.3.1031255639.1400.1345987597.367,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.70479447899987659458272774174025517156,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.826.0.1.3680043.8.498.43542340746687190812345909663884757945,highdicom / eay131_tumor_annotations,highdicom,eay131_tumor_annotations,eay131,OK,1,1
1.2.826.0.1.3680043.8.498.85512237063626130878471235845447751096,highdicom / eay131_tumor_annotations,highdicom,eay131_tumor_annotations,eay131,OK,1,1
1.2.276.0.7230010.3.1.3.17436516.3975305.1714504785.204239,dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,hcc_tace_seg,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.5464.1599221860.888,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.5464.1599221791.439,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.5808.1599221885.265,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.23788.1599221829.820,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.25044.1599221924.876,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.276154644130008521417704322516,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.3.6.1.4.1.14519.5.2.1.326986221668379639205010091480790703743,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.513555378996856671713863823165,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.24644.1599221922.113,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.323844179343423805114382241122,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.8220.1599221770.50,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.14224.1599221879.641,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.16240.1599221761.962,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.24736.1599221778.322,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.26756.1599221804.455,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.3.6.1.4.1.14519.5.2.1.299524587342952470543757366239697561760,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.254517017072374376956080357544478407512,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.176867881247414474275163379937128852421,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.309938702.2796.1345119675.149,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53253.1718923431.474079,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.149767658957880888031619430498366295361,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.826.0.1.3680043.10.511.3.25300727088905197494868158262574278,not identifiable from index / rms_mutation_prediction_expert_annotations,not identifiable from index,rms_mutation_prediction_expert_annotations,rms_mutation_prediction,OK,2,2
1.3.6.1.4.1.14519.5.2.1.337926392125886201892711469949877467103,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.138634434613623293375315550390393484308,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.132364131631994618167806673858586634016,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53405.1718923460.650075,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53829.1718923539.738195,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.252481703062859560788381545741841588749,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.9203.8273.103814453703777099454683574846,dcmqi / (null),dcmqi,(null),colorectal_liver_metastases,OK,1,1
1.2.276.0.7230010.3.1.3.0.24790.1674507872.849180,dcmqi / (null),dcmqi,(null),ct_lymph_nodes,OK,1,1
1.2.276.0.7230010.3.1.3.17436516.3980383.1714504816.412306,dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,hcc_tace_seg,OK,1,1
1.2.276.0.7230010.3.1.3.17436516.3980512.1714504817.178081,dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,hcc_tace_seg,OK,1,1
1.3.6.1.4.1.14519.5.2.1.252907585023291301753986807653852162982,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.296218743955775700084327270829623358293,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
