Manufacturer,ManufacturerModelName,series
Stony Brook University converted by Imaging Data Commons,TIL Inception-V4 2022 converted by Imaging Data Commons,15868
Stony Brook University converted by Imaging Data Commons,TIL Custom CNN 2018 converted by Imaging Data Commons,5162
Gevaert Lab Converted By Imaging Data Commons,GBM360,691
