writer,writer_version,sop_class,validator,message_class_id,severity_as_emitted,message_template,cell_single_writer,single_writer_reason,shared_with,cell_jaccard,cell_comparable,corpus_objects,corpus_context
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,095ddfcf33c6,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Value Transformation Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",691,Parametric Map Storage 691 of 691
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,380880930b44,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,49e18e26dc42,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Frame VOI LUT Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",691,Parametric Map Storage 691 of 691
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,679be57db212,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Parametric Map Frame Type Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",691,Parametric Map Storage 691 of 691
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,6f01abd4f319,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,93da22cb4196,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Real World Value Mapping Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",691,Parametric Map Storage 691 of 691
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,d0eabe730084,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,d81147d20e87,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",691,Parametric Map Storage 691 of 691
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,dicom-validator,f782376ec325,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,yes,"dcmqi itkimage2paramap exited with 'ERROR: Conversion failed.' on the fixture under four metadata variants and both float32 and float64 input. It ships no schema in the vendored build and emits no diagnostic beyond that line. Recorded as an emission gap, not as a defect in either tool.","neither, this writer only",n/a,"no, dcmqi cannot emit it",0,not observed in the census snapshot
highdicom,highdicom 0.28.1 on pydicom 3.0.2,TID 1500 SR,dciodvfy,,,"no message class drawn, this writer's floor for this cell is zero",no,,,1.0000,yes,,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,TID 1500 SR,dicom-validator,434c42b05bff,ERROR,Module <SR Document Content> (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Referenced SOP Sequence) Tag (TAG) (Referenced Segment Number) is unexpected,no,,dcmqi,1.0000,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dciodvfy,cc372fb8c40c,Error,Error - Missing attribute Type 2 Required Element=<ClinicalTrialCoordinatingCenterName> Module=<ClinicalTrialSeries>,no,,"neither, this writer only",0.0000,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dicom-validator,380880930b44,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,no,,highdicom,0.8571,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dicom-validator,6f01abd4f319,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,no,,highdicom,0.8571,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dicom-validator,6f56c1b01548,ERROR,Module <Clinical Trial Series> Tag (TAG) (Clinical Trial Coordinating Center Name) is missing,no,,"neither, this writer only",0.8571,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dicom-validator,972394b5bb82,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,no,,highdicom,0.8571,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dicom-validator,d0eabe730084,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,no,,highdicom,0.8571,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dicom-validator,d81147d20e87,ERROR,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,no,,highdicom,0.8571,yes,691,Parametric Map Storage 691 of 691
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,dicom-validator,f782376ec325,ERROR,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,no,,highdicom,0.8571,yes,0,not observed in the census snapshot
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",TID 1500 SR,dciodvfy,,,"no message class drawn, this writer's floor for this cell is zero",no,,,1.0000,yes,,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",TID 1500 SR,dicom-validator,434c42b05bff,ERROR,Module <SR Document Content> (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Referenced SOP Sequence) Tag (TAG) (Referenced Segment Number) is unexpected,no,,highdicom,1.0000,yes,0,not observed in the census snapshot
