series_instance_uid,sop_instance_uid,analysis_result_id,validator,message_class_id,message_template,severity_as_emitted,raw_example,iod_recognised_as,validator_returncode
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dciodvfy,4a71864409dc,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Segmentation,0
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dciodvfy,74637eecf0ac,Warning - Value dubious for this VR - (TAG) PN Content Creator's Name PN [1] = <Reader1> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0070,0x0084) PN Content Creator's Name  PN [1] = <Reader1> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Segmentation,0
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Segmentation,0
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Segmentation,0
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.20400.1553303361.48326,1.2.276.0.7230010.3.1.4.0.20400.1553303361.48327,dicom_lidc_idri_nodules,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dciodvfy,fa52cde9c940,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <TCGA-KM-8639> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0010,0x0010) PN Patient's Name  PN [1] = <TCGA-KM-8639> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dciodvfy,0507257941dd,Warning - Value is zero for value 1 of attribute <Patient's Size>,Warning,Warning - Value is zero for value 1 of attribute <Patient's Size>,Segmentation,0
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dciodvfy,0786a34e0c26,Warning - Value is zero for value 1 of attribute <Patient's Weight>,Warning,Warning - Value is zero for value 1 of attribute <Patient's Weight>,Segmentation,0
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.3902818.1720465127.347590,1.2.276.0.7230010.3.1.4.17436516.3902818.1720465127.347591,bamf_aimi_annotations,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dciodvfy,4a71864409dc,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Segmentation,0
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dciodvfy,8c857ef640a3,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <UPENN-GBM-00201> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0010,0x0010) PN Patient's Name  PN [1] = <UPENN-GBM-00201> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dicom-validator,6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dicom-validator,d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.17436516.681837.1722971254.543135,1.2.276.0.7230010.3.1.4.17436516.681837.1722971254.543136,bamf_aimi_annotations,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dciodvfy,4a71864409dc,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Segmentation,0
1.2.276.0.7230010.3.1.3.481037312.288665.1761249018.481405,1.2.276.0.7230010.3.1.4.481037312.288665.1761249018.481406,nlstseg,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
