series_instance_uid,sop_instance_uid,analysis_result_id,validator,message_class_id,message_template,severity_as_emitted,raw_example,iod_recognised_as,validator_returncode
1.2.276.0.7230010.3.1.3.313263360.28058.1706320524.715595,1.2.276.0.7230010.3.1.4.313263360.28058.1706320524.715596,totalsegmentator_ct_segmentations,dicom-validator,f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.313263360.28058.1706320524.715595,1.2.276.0.7230010.3.1.4.313263360.28058.1706320524.715596,totalsegmentator_ct_segmentations,dicom-validator,d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.313263360.28058.1706320524.715595,1.2.276.0.7230010.3.1.4.313263360.28058.1706320524.715596,totalsegmentator_ct_segmentations,dicom-validator,380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.313263360.28058.1706320524.715595,1.2.276.0.7230010.3.1.4.313263360.28058.1706320524.715596,totalsegmentator_ct_segmentations,dicom-validator,972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,6
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dciodvfy,4a71864409dc,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study Time,Segmentation,0
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dciodvfy,815f5dab3ba7,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Warning,Warning - Missing attribute or value that would be needed to build DICOMDIR - Study ID,Segmentation,0
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dciodvfy,74637eecf0ac,Warning - Value dubious for this VR - (TAG) PN Content Creator's Name PN [1] = <Reader1> - Retired Person Name form,Warning,"Warning - Value dubious for this VR - (0x0070,0x0084) PN Content Creator's Name  PN [1] = <Reader1> - Retired Person Name form",Segmentation,0
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Segmentation,0
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Segmentation,0
1.2.276.0.7230010.3.1.3.0.66190.1553353048.71209,1.2.276.0.7230010.3.1.4.0.66190.1553353048.71210,dicom_lidc_idri_nodules,dciodvfy,76ab0c6981d2,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,Segmentation,0
