writer,writer_version,sop_class,sop_class_uid,sop_instance_uid,validator,validator_build,message_class_id,message_template,severity_as_emitted,raw_example,iod_recognised_as,validator_returncode,arm,fixture,adjudication,basis
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,1.2.840.10008.5.1.4.1.1.30,1.2.826.0.1.3680043.10.511.3.73303506265731479442453378102779013,dicom-validator,"dicom-validator 0.8.2, edition 2026c",d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Parametric Map IOD,9,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,Parametric Map,1.2.840.10008.5.1.4.1.1.30,1.2.826.0.1.3680043.10.511.3.73303506265731479442453378102779013,dicom-validator,"dicom-validator 0.8.2, edition 2026c",380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Parametric Map IOD,9,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
highdicom,highdicom 0.28.1 on pydicom 3.0.2,TID 1500 SR,1.2.840.10008.5.1.4.1.1.88.34,1.2.826.0.1.3680043.10.511.3.30785313249044916261994808730043371,dicom-validator,"dicom-validator 0.8.2, edition 2026c",434c42b05bff,Module <SR Document Content> (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Referenced SOP Sequence) Tag (TAG) (Referenced Segment Number) is unexpected,ERROR,"Module <SR Document Content> (0040,A730) (Content Sequence) / (0040,A730) (Content Sequence) / (0040,A730) (Content Sequence) / (0008,1199) (Referenced SOP Sequence) Tag (0062,000B) (Referenced Segment Number) is unexpected",Comprehensive 3D SR IOD,1,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dciodvfy,dicom3tools snapshot 20260701065818,cc372fb8c40c,Error - Missing attribute Type 2 Required Element=<ClinicalTrialCoordinatingCenterName> Module=<ClinicalTrialSeries>,Error,Error - Missing attribute Type 2 Required Element=<ClinicalTrialCoordinatingCenterName> Module=<ClinicalTrialSeries>,Segmentation,1,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dicom-validator,"dicom-validator 0.8.2, edition 2026c",6f56c1b01548,Module <Clinical Trial Series> Tag (TAG) (Clinical Trial Coordinating Center Name) is missing,ERROR,"Module <Clinical Trial Series>  Tag (0012,0060) (Clinical Trial Coordinating Center Name) is missing",Segmentation IOD,7,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dicom-validator,"dicom-validator 0.8.2, edition 2026c",6f01abd4f319,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Plane Orientation Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0020,9116) (Plane Orientation Sequence) is unexpected",Segmentation IOD,7,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dicom-validator,"dicom-validator 0.8.2, edition 2026c",d81147d20e87,Module <Multi-frame Functional Groups> (TAG) (Shared Functional Groups Sequence) Tag (TAG) (Pixel Measures Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9229) (Shared Functional Groups Sequence) Tag (0028,9110) (Pixel Measures Sequence) is unexpected",Segmentation IOD,7,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dicom-validator,"dicom-validator 0.8.2, edition 2026c",f782376ec325,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Derivation Image Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0008,9124) (Derivation Image Sequence) is unexpected",Segmentation IOD,7,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dicom-validator,"dicom-validator 0.8.2, edition 2026c",d0eabe730084,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Frame Content Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9111) (Frame Content Sequence) is unexpected",Segmentation IOD,7,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dicom-validator,"dicom-validator 0.8.2, edition 2026c",380880930b44,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Plane Position Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0020,9113) (Plane Position Sequence) is unexpected",Segmentation IOD,7,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",SEG BINARY,1.2.840.10008.5.1.4.1.1.66.4,1.2.276.0.7230010.3.1.4.364585011.331240.1785647604.950,dicom-validator,"dicom-validator 0.8.2, edition 2026c",972394b5bb82,Module <Multi-frame Functional Groups> (TAG) (Per-Frame Functional Groups Sequence) Tag (TAG) (Segment Identification Sequence) is unexpected,ERROR,"Module <Multi-frame Functional Groups> (5200,9230) (Per-Frame Functional Groups Sequence) Tag (0062,000A) (Segment Identification Sequence) is unexpected",Segmentation IOD,7,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
dcmqi,"dcmqi tag v1.5.4 revision a102298, vendored in 3D Slicer",TID 1500 SR,1.2.840.10008.5.1.4.1.1.88.22,1.2.276.0.7230010.3.1.4.364585011.328460.1785647481.579,dicom-validator,"dicom-validator 0.8.2, edition 2026c",434c42b05bff,Module <SR Document Content> (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Content Sequence) / (TAG) (Referenced SOP Sequence) Tag (TAG) (Referenced Segment Number) is unexpected,ERROR,"Module <SR Document Content> (0040,A730) (Content Sequence) / (0040,A730) (Content Sequence) / (0040,A730) (Content Sequence) / (0008,1199) (Referenced SOP Sequence) Tag (0062,000B) (Referenced Segment Number) is unexpected",Enhanced SR IOD,1,"A, paired emission","synthetic 3-slice CT 32x32, 2-label volume",unadjudicated,
